k,regime,H4_axes_active,bdp_q,bdp_m,bdp_k,bdp_error,bdp_error_ratio,bdp_tolerance_log10,bdp_kappa_digits,bdp_status
1,Classical-Z,12,2,0,0,0,0,,15,EXACT
2,Classical-Z,12,3,0,0,0,0,,15,EXACT
3,Classical-Z,12,19,0,0,0,0,,15,EXACT
4,Classical-Z,12,191,0,0,0,0,,15,EXACT
5,Bridge,1,191,16,4302500806252,0.0382906,9.588e-15,-1.54,15,VERIFIED
6,Desert,1,,,,,,1.6,15,BEYOND_TOLERANCE
7,Desert,1,,,,,,10.0,15,BEYOND_TOLERANCE
8,Desert,1,,,,,,20.4,15,BEYOND_TOLERANCE
9,Desert,1,,,,,,62.6,15,BEYOND_TOLERANCE
10,Desert,1,,,,,,81.8,15,BEYOND_TOLERANCE
11,Desert,1,,,,,,97.6,15,BEYOND_TOLERANCE
12,Desert,1,,,,,,358.7,15,BEYOND_TOLERANCE
13,Desert,1,,,,,,846.7,15,BEYOND_TOLERANCE
14,Desert,1,,,,,,1012.2,15,BEYOND_TOLERANCE
15,Desert,1,,,,,,1579.8,15,BEYOND_TOLERANCE
16,Desert,1,,,,,,1850.4,15,BEYOND_TOLERANCE
17,Desert,1,,,,,,2260.2,15,BEYOND_TOLERANCE
18,Desert,1,,,,,,2376.6,15,BEYOND_TOLERANCE
19,Desert,1,,,,,,3416.4,15,BEYOND_TOLERANCE
20,Desert,1,,,,,,3535.5,15,BEYOND_TOLERANCE
