s,digits,zero_run,sym,T,method,trials,errors,error_rate,value,note
2,1,0,120,1,rule_echo,100,0,0.0000,2,
2,1,0,120,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,1,0,20,1,rule_echo,100,0,0.0000,3,
3,1,0,20,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
19,2,0,2,1,rule_echo,100,0,0.0000,19,
19,2,0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
191,3,0,2,1,rule_echo,100,0,0.0000,191,
191,3,0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000001119,13,8,1,1,rule_echo,100,0,0.0000,1000000001119,
1000000001119,13,8,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000000001119,14,9,1,1,rule_echo,100,0,0.0000,10000000001119,
10000000001119,14,9,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000001357,13,8,1,1,rule_echo,100,0,0.0000,1000000001357,
1000000001357,13,8,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000001511,13,8,1,1,rule_echo,100,0,0.0000,1000000001511,
1000000001511,13,8,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000001723,13,8,1,1,rule_echo,100,0,0.0000,1000000001723,
1000000001723,13,8,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000001831,13,8,1,1,rule_echo,100,0,0.0000,1000000001831,
1000000001831,13,8,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1234567891,10,0,null,1,rule_echo,100,0,0.0000,1234567891,
1234567891,10,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000123456,10,3,null,1,rule_echo,100,0,0.0000,1000123456,
1000123456,10,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000123,10,6,null,1,rule_echo,100,0,0.0000,1000000123,
1000000123,10,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000,10,9,null,1,rule_echo,100,0,0.0000,1000000000,
1000000000,10,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
12345678912,11,0,null,1,rule_echo,100,0,0.0000,12345678912,
12345678912,11,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10001234567,11,3,null,1,rule_echo,100,0,0.0000,10001234567,
10001234567,11,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000001234,11,6,null,1,rule_echo,100,0,0.0000,10000001234,
10000001234,11,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000000001,11,9,null,1,rule_echo,100,0,0.0000,10000000001,
10000000001,11,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
123456789123,12,0,null,1,rule_echo,100,0,0.0000,123456789123,
123456789123,12,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100012345678,12,3,null,1,rule_echo,100,0,0.0000,100012345678,
100012345678,12,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000012345,12,6,null,1,rule_echo,100,0,0.0000,100000012345,
100000012345,12,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000012,12,9,null,1,rule_echo,100,0,0.0000,100000000012,
100000000012,12,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1234567891234,13,0,null,1,rule_echo,100,0,0.0000,1234567891234,
1234567891234,13,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000123456789,13,3,null,1,rule_echo,100,0,0.0000,1000123456789,
1000123456789,13,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000123456,13,6,null,1,rule_echo,100,0,0.0000,1000000123456,
1000000123456,13,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000123,13,9,null,1,rule_echo,100,0,0.0000,1000000000123,
1000000000123,13,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000000,13,12,null,1,rule_echo,100,0,0.0000,1000000000000,
1000000000000,13,12,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
12345678912345,14,0,null,1,rule_echo,100,0,0.0000,12345678912345,
12345678912345,14,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10001234567891,14,3,null,1,rule_echo,100,0,0.0000,10001234567891,
10001234567891,14,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000001234567,14,6,null,1,rule_echo,100,0,0.0000,10000001234567,
10000001234567,14,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000000001234,14,9,null,1,rule_echo,100,0,0.0000,10000000001234,
10000000001234,14,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
10000000000001,14,12,null,1,rule_echo,100,0,0.0000,10000000000001,
10000000000001,14,12,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
123456789123456,15,0,null,1,rule_echo,100,0,0.0000,123456789123456,
123456789123456,15,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100012345678912,15,3,null,1,rule_echo,100,0,0.0000,100012345678912,
100012345678912,15,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000012345678,15,6,null,1,rule_echo,100,0,0.0000,100000012345678,
100000012345678,15,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000012345,15,9,null,1,rule_echo,100,0,0.0000,100000000012345,
100000000012345,15,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000000012,15,12,null,1,rule_echo,100,0,0.0000,100000000000012,
100000000000012,15,12,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1234567891234567,16,0,null,1,rule_echo,100,0,0.0000,1234567891234567,
1234567891234567,16,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000123456789123,16,3,null,1,rule_echo,100,0,0.0000,1000123456789123,
1000123456789123,16,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000123456789,16,6,null,1,rule_echo,100,0,0.0000,1000000123456789,
1000000123456789,16,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000123456,16,9,null,1,rule_echo,100,0,0.0000,1000000000123456,
1000000000123456,16,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000000123,16,12,null,1,rule_echo,100,0,0.0000,1000000000000123,
1000000000000123,16,12,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1000000000000000,16,15,null,1,rule_echo,100,0,0.0000,1000000000000000,
1000000000000000,16,15,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
123456789123456789,18,0,null,1,rule_echo,100,0,0.0000,123456789123456789,
123456789123456789,18,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100012345678912345,18,3,null,1,rule_echo,100,0,0.0000,100012345678912345,
100012345678912345,18,3,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000012345678912,18,6,null,1,rule_echo,100,0,0.0000,100000012345678912,
100000012345678912,18,6,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000012345678,18,9,null,1,rule_echo,100,0,0.0000,100000000012345678,
100000000012345678,18,9,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000000012345,18,12,null,1,rule_echo,100,0,0.0000,100000000000012345,
100000000000012345,18,12,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
100000000000000012,18,15,null,1,rule_echo,100,0,0.0000,100000000000000012,
100000000000000012,18,15,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
12345678912345678912,20,0,null,1,rule_echo,100,0,0.0000,12345678912345678912,
12345678912345678912,20,0,null,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
